usym,CCJ,DISH,GILD,GMCR,IBN,JCP,SD,SPY,Symb,WMB,usym
06/05/2014,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06/05/2014
06/06/2014,7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06/06/2014
06/09/2014,-7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06/09/2014
06/10/2014,0.0,-147.81,0.0,170.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06/10/2014
06/12/2014,0.0,-78.0,6.5,-131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06/12/2014
06/13/2014,0.0,-491.0,0.0,-733.5,7.0,0.0,0.0,0.0,0.0,0.0,0.0,06/13/2014
06/16/2014,0.0,-180.0,0.0,0.0,-4.5,0.0,2.0,0.0,0.0,8.0,0.0,06/16/2014
06/17/2014,0.0,-4.5,0.0,232.0,-0.27,0.0,0.0,0.0,0.0,1551.0,0.0,06/17/2014
06/18/2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,06/18/2014
06/19/2014,0.0,-26.5,0.0,0.0,103.0,0.0,0.0,0.0,0.0,351.0,0.0,06/19/2014
06/20/2014,0.0,373.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,06/20/2014
06/23/2014,0.0,28.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06/23/2014
06/24/2014,0.0,125.33,36.5,291.0,14.0,6.0,0.0,0.0,0.0,68.0,0.0,06/24/2014
